codigo usuario;codigo medidor;fecha consulta;fecha lectura;lectura final;anomalia
1000738;52445;05/12/2018;05/12/2018;8984.96;
1000739;35789;05/12/2018;05/12/2018;3173.07;
1001543;44705;05/12/2018;05/12/2018;12126.89;
1004354;51354;05/12/2018;05/12/2018;5184.18;
1004374;5317947672;05/12/2018;05/12/2018;733.14;Medidor Deconectado
1004383;46379;05/12/2018;;;Medidor Sin Conexion
1004389;46322;05/12/2018;;;Medidor Sin Conexion
1005868;40862;05/12/2018;05/12/2018;6505.13;
1006524;51113;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1006526;51078;05/12/2018;05/12/2018;4914.14;
1006527;50870;05/12/2018;05/12/2018;4330.83;
1006528;51084;05/12/2018;05/12/2018;3509.41;
1006529;52961;05/12/2018;05/12/2018;4188.50;
1006530;52922;05/12/2018;05/12/2018;5936.20;
1006532;52930;05/12/2018;05/12/2018;1389.24;
1006534;52938;05/12/2018;05/12/2018;6007.67;
1006535;52931;05/12/2018;05/12/2018;3727.87;
1006536;52929;05/12/2018;05/12/2018;6109.00;
1006537;52948;05/12/2018;05/12/2018;1.75;
1006538;37043;05/12/2018;05/12/2018;3382.39;
1006540;37088;05/12/2018;05/12/2018;3641.72;
1006543;37007;05/12/2018;05/12/2018;3472.17;
1006545;33962;05/12/2018;05/12/2018;2917.76;
1006546;52939;05/12/2018;05/12/2018;2304.30;
1006547;37109;05/12/2018;05/12/2018;3404.45;
1006548;37100;05/12/2018;05/12/2018;4841.79;
1006551;37094;05/12/2018;05/12/2018;6481.29;
1006555;37178;05/12/2018;05/12/2018;3429.38;
1006558;55503;05/12/2018;05/12/2018;5.48;
1006561;36449;05/12/2018;05/12/2018;1953.57;
1006562;55500;05/12/2018;05/12/2018;117.04;
1006563;52058;05/12/2018;05/12/2018;1405.12;
1006564;52068;05/12/2018;05/12/2018;3470.99;
1006565;50868;05/12/2018;05/12/2018;1819.78;
1006759;54489;05/12/2018;05/12/2018;11986.31;
1006765;39968;05/12/2018;05/12/2018;28204.98;
1006769;54505;05/12/2018;05/12/2018;8527.49;
1006775;44993;05/12/2018;;;Medidor Sin Conexion
1006778;30917;05/12/2018;05/12/2018;10036.88;
1006780;48332;05/12/2018;05/12/2018;13853.38;
1006781;30911;05/12/2018;05/12/2018;3836.97;
1006782;31010;05/12/2018;05/12/2018;8010.23;
1007707;40004;05/12/2018;05/12/2018;4527.55;
1007712;52978;05/12/2018;05/12/2018;14626.59;
1007713;40307;05/12/2018;05/12/2018;4419.47;
1007737;32087;05/12/2018;05/12/2018;12879.63;
1007743;54097;05/12/2018;05/12/2018;10651.21;
1007744;5088750882;05/12/2018;05/12/2018;5888.18;
1007746;41213;05/12/2018;05/12/2018;6448.51;
1007749;5584551591;05/12/2018;05/12/2018;5575.17;
1008562;40298;05/12/2018;05/12/2018;5369.96;
1008639;55776;05/12/2018;05/12/2018;152.36;
1009901;44804;05/12/2018;05/12/2018;9159.09;
1009985;5288552705;05/12/2018;05/12/2018;16684.85;
1009986;53459;05/12/2018;05/12/2018;6835.32;
1009987;5405755878;05/12/2018;05/12/2018;11924.66;
1009989;3960539683;05/12/2018;05/12/2018;5470.13;
1009992;45632;05/12/2018;05/12/2018;8524.37;
1009993;54285;05/12/2018;05/12/2018;8680.03;
1009994;54276;05/12/2018;05/12/2018;1535.80;
1009995;54950;05/12/2018;05/12/2018;4.64;
1009996;51081;05/12/2018;05/12/2018;4897.83;
1009997;51089;05/12/2018;05/12/2018;5737.42;
1009998;5047450465;05/12/2018;05/12/2018;7094.82;Medidor Deconectado
1009999;53359;05/12/2018;05/12/2018;2830.92;
1010000;54992;05/12/2018;05/12/2018;8901.02;
1010001;53143;05/12/2018;05/12/2018;7035.52;
1010008;45566;05/12/2018;05/12/2018;14908.68;
1010014;32429;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1010096;38243;05/12/2018;05/12/2018;9624.30;
1010168;50276;05/12/2018;;;Medidor Sin Conexion
1010196;51212;05/12/2018;05/12/2018;6404.46;
1010197;51543;05/12/2018;05/12/2018;5315.83;
1010199;4353237436;05/12/2018;05/12/2018;6177.40;
