codigo de transformador;capacidadtransformador;georeferencia;tipotransformador;direccion;codigo nodo;codigo usuario;tipousuario;codigo concentrador;codigo de caja;codigo de colector ;codigo de medidor;display;estado
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;1103846;MONOFASICO;8576;6193;12572;54159;35041;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;1141097;MONOFASICO;8576;6193;12572;54715;35042;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;1156836;MONOFASICO;8576;6193;12572;54154;25694;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;1156844;MONOFASICO;8576;6193;12572;54717;35046;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;1156877;MONOFASICO;8576;6193;12572;54163;35045;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;1165937;MONOFASICO;8576;6193;12572;51207;33592;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;1174186;MONOFASICO;8576;6193;12572;53751;28652;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;380244;MONOFASICO;8576;6193;12572;54703;35813;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;391156;MONOFASICO;8576;6193;12572;54710;35059;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;0;391158;MONOFASICO;8576;6193;12572;54165;25685;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;1;1039563;MONOFASICO;8576;6055;12890;54725;35043;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;1;1151686;MONOFASICO;8576;6055;12890;54720;35052;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;1;391152;MONOFASICO;8576;6055;12890;54713;33215;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;1;391154;MONOFASICO;8576;6055;12890;54697;35047;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;1;391194;MONOFASICO;8576;6055;12890;54146;35055;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;10;1144269;MONOFASICO;8576;6020;12887;53310;35487;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;10;1195300;MONOFASICO;8576;6020;12887;55214;32886;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;10;381434;MONOFASICO;8576;6020;12887;53315;36460;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;10;381826;MONOFASICO;8576;6020;12887;51714;34895;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;10;381828;MONOFASICO;8576;6020;12887;54119;34456;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;10;381830;MONOFASICO;8576;6020;12887;54121;33877;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;10;528637;MONOFASICO;8576;6020;12887;53337;36715;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;11;1029351;TRIFASICO;8576;5845;12699;533035411853325;33085;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;11;1058888;MONOFASICO;8576;5845;12699;53332;34457;Activo
